level,position_type,contest,vote_for,share_of_27513_voters,candidate,party,incumbent,home,ai_color,ai_label,ai_confidence,ai_basis,ai_why,ai_quote,bio,record,links,sources
Federal,U.S. Senate,U.S. Senate,1,100%,Roy Cooper,Democratic,no,Raleigh,green,"Pro, with conditions",med,stated,"Accepts data centers but says they must pay for all of their power, should build their own generation, and that local communities get the final say (including local moratoriums). Has not called for a ban.",We need to make sure data centers pay for their own power and we need to encourage them to build their own energy sources because right now that's causing rates to go up for consumers.,Former NC governor (2017-2024) and attorney general.,As governor he celebrated large tech and data-center investments that received state incentives; the NRSC calls his 2026 stance a flip-flop (partisan source).,"Campaign site (unverified): https://www.roycooper.com | Wikipedia: https://en.wikipedia.org/wiki/Roy_Cooper | Ballotpedia: race page: https://ballotpedia.org/United_States_Senate_election_in_North_Carolina,_2026","Spectrum News: data centers and the Senate race (Aug 2026): https://spectrumlocalnews.com/nc/charlotte/news/2026/08/27/data-centers-roy-cooper-whatley | Charlotte Observer fact check: Whatley vs Cooper on data centers: https://www.newsbreak.com/charlotte-observer-1592553/4885526834049-fact-check-where-michael-whatley-and-roy-cooper-stand-on-data-centers | Fox News: Cooper shifts his stance on data centers: https://www.foxnews.com/politics/roy-cooper-changes-tune-data-centers-rising-power-costs-collide-senate-campaign | NRSC: ""Roy Cooper flip-flopped on data centers"" (partisan): https://www.nrsc.org/press-releases/roy-cooper-flip-flopped-on-data-centers-2026-08-31/"
Federal,U.S. Senate,U.S. Senate,1,100%,Michael Whatley,Republican,no,Gastonia,yellow,Mixed / unclear,med,stated,"Strong pay-your-own-way terms (Big Tech buys every megawatt and every grid upgrade, zero cost to households, communities decide) would read green, BUT he also backs tax breaks for data centers (fails your ""no subsidy"" test) and told Fox News local opposition ""is not organic"" and is ""being ginned up"". Mixed signals.",We don't want to lose the AI race to China ... but you can't have the data centers be a burden to local communities.,Former Republican National Committee chair and former NC GOP chair.,"NC Democrats, citing his family financial disclosure, say he holds up to $1.6M in data-center company investments and at least $149K of Duke Energy stock (claims made at a Democratic press event; check the disclosure yourself).",Campaign site (unverified): https://www.whatleyforsenate.com | Wikipedia: https://en.wikipedia.org/wiki/Michael_Whatley,"Breitbart radio interview (Aug 25, 2026): https://www.breitbart.com/radio/2026/08/25/exclusive-nc-senate-candidate-michael-whatley-we-cannot-have-data-centers-raising-water-or-electricity-rates-on-consumers/ | Charlotte Observer fact check: https://www.newsbreak.com/charlotte-observer-1592553/4885526834049-fact-check-where-michael-whatley-and-roy-cooper-stand-on-data-centers | MSNBC/MaddowBlog: ""not organic ... ginned up"" quote: https://www.ms.now/rachel-maddow-show/maddowblog/data-centers-scalise-trump-republicans-china-conspiracy-theory-gop-elections-midterms | CBS17: Democrats attack Whatley data-center investments: https://www.cbs17.com/news/north-carolina-news/nc-democrats-sharpen-attacks-against-whatley-over-data-center-investments/ | Cardinal Pine (progressive outlet): https://cardinalpine.com/news/democrats-criticize-whatley-duke-energy-data-center-investments/"
Federal,U.S. Senate,U.S. Senate,1,100%,Shannon W. Bray,Libertarian,no,Angier,gray,No position found,low,none,"Tech-literate privacy platform, but no specific AI or data-center position found.",,Navy veteran; cybersecurity specialist with a PhD in computer science.,"Platform centers on privacy, modernizing government, and rejecting mass data collection and a ""surveillance state"".",Campaign site: https://www.shannonbray.us/ | Ballotpedia: https://ballotpedia.org/Shannon_Bray,Ballotpedia: https://ballotpedia.org/Shannon_Bray | WAVY candidate profile: https://www.wavy.com/news/politics/candidates/candidate-profile-shannon-bray-nc-senate/
Federal,U.S. Senate,U.S. Senate,1,100%,Michael Dublin,Green,no,Garner,gray,No position found,low,none,"Strong climate platform, but no specific AI or data-center position found.",,Raleigh-raised public school teacher; 2024 Green nominee for NC-2.,"Platform: 100% renewable energy and net-zero-or-better by 2035, halt new fossil-fuel approvals, $25 minimum wage, universal health care; refuses corporate donations.",Campaign site: https://www.dublinforcongress.com/ | Ballotpedia: https://ballotpedia.org/Michael_Dublin,Ballotpedia: https://ballotpedia.org/Michael_Dublin | Green Party profile: https://www.gp.org/michael_dublin_for_congress
Federal,U.S. House,"U.S. House, NC District 2",1,77.5%,Deborah K. Ross,Democratic,yes,Raleigh,green,"Pro, with conditions",low,stated,"Pro-AI (sponsors AI security legislation, touts RTP as an AI hub) and has raised concerns about data centers in her district, saying communities should have more input on projects that need large amounts of power and water. The House passed the federal Ratepayer Protection Act 417-3; the three ""no"" votes were other members, so she did not oppose it (inferred: likely a yes).",,U.S. Representative since 2021; former state House member and former ACLU of NC executive director.,Her AI Incident Reporting and Security Enhancement Act was folded into the bipartisan American Leadership in AI Act (Apr 2026).,House office site: https://ross.house.gov/ | Campaign site (unverified): https://www.deborahross.com | Ballotpedia: https://ballotpedia.org/Deborah_Ross,"Ross press release: AI bill in bipartisan package: https://ross.house.gov/2026/4/ross-bill-included-in-bipartisan-proposal-to-advance-american-leadership-in-ai | Fox News: first data-center bill clears House (Ross quoted): https://www.foxnews.com/politics/first-data-center-bill-clears-house-republicans-democrats-scramble-answers-affordability-energy | Breitbart: the three ""no"" votes on the Ratepayer Protection Act: https://www.breitbart.com/tech/2026/09/17/house-passes-ratepayer-protection-act-417-3-to-address-ai-data-center-power-concerns/"
Federal,U.S. House,"U.S. House, NC District 2",1,77.5%,Eugene F. Douglass,Republican,no,Raleigh,gray,No position found,low,none,No AI or data-center position found.,,Retired college chemistry professor and education consultant.,"Placed second (22.5%) in the 2024 NC-2 GOP primary. Platform: stricter abortion limits, stricter immigration enforcement, opposes gender-affirming care for minors.",PBS State Lines interview: https://www.pbs.org/video/eugene-douglass-republican-candidate-for-ncs-2nd-congressional-district-biv9vp/ | Campaign site (unverified): https://gdouglass.us | Ballotpedia: https://ballotpedia.org/Eugene_Douglass,Ballotpedia: https://ballotpedia.org/Eugene_Douglass | INDY: who is running for Congress: https://indyweek.com/news/politics/whos-running-congress/
Federal,U.S. House,"U.S. House, NC District 2",1,77.5%,Matthew Laszacs,Libertarian,no,Cary (27513),gray,No position found,low,none,No AI or data-center position found.,,Cary resident; previously the Libertarian nominee for NC House 41.,"Past platform: repeal exclusionary zoning to allow more housing, low taxes, deregulate health care (full practice authority, end Certificate of Need), education savings accounts for all.",Ballotpedia: https://ballotpedia.org/Matthew_Laszacs | Earlier campaign site: https://matt4nc.us/meet-matt-laszacs/,Ballotpedia: https://ballotpedia.org/Matthew_Laszacs | N&O Q&A (earlier race): https://www.yahoo.com/news/libertarian-matthew-laszacs-candidate-nc-175746902.html
Federal,U.S. House,"U.S. House, NC District 4",1,22.5%,Valerie P. Foushee,Democratic,yes,Chapel Hill,yellow,Mixed / unclear,med,stated,"Pro-AI with regulation (generative-AI labeling, frontier-AI safety, data-center energy and water measures; cosponsor of a federal data-center community-impact study), but publicly opposed the one local proposal (New Hill, 300 MW) while saying local leaders should decide, without saying what terms would make a data center acceptable.","Plainly, I don't support a new data center in the heart of our district.",U.S. Representative since 2023; former state senator.,"Sits on the House Bipartisan AI Task Force and co-chairs the House Democratic Commission on AI and the Innovation Economy. DISCLOSURE: a super PAC funded by Anthropic (the company that makes Claude, the AI that compiled this page) spent about $1.6M supporting her in the March 2026 primary.",House office site: https://foushee.house.gov/ | Campaign site (unverified): https://www.valeriefoushee.com | Wikipedia: https://en.wikipedia.org/wiki/Valerie_Foushee,"Foushee: AI and data-center measures advance in House Science: https://foushee.house.gov/media/press-releases/rep-foushee-led-generative-ai-labeling-frontier-ai-safety-and-data-center-measures-advance-through-house-science-committee | WUNC: opposition to data centers ""catching a fire"": https://www.wunc.org/environment/2026-04-10/opposition-to-data-centers-is-catching-a-fire-across-north-carolina-spurring-political-challenges | WRAL: AI-related PACs back Foushee: https://www.wral.com/news/nccapitol/ai-pacs-2m-nc-2026-primaries-foushee-buckhout-feb-27/ | The American Prospect: Anthropic-funded PAC and Foushee: https://prospect.org/2026/02/25/ai-anthropic-claude-super-pac-valerie-foushee-congress-north-carolina/"
Federal,U.S. House,"U.S. House, NC District 4",1,22.5%,Mahesh (Max) Ganorkar,Republican,no,Pittsboro,gray,No position found,low,none,No AI or data-center position found.,,"Home designer and builder; former Tea Party leader; describes himself as an ""anti-socialism warrior"".",Repeat NC-4 candidate.,PBS State Lines interview: https://www.pbs.org/video/mahesh-ganorkar-republican-candidate-for-ncs-4th-congressional-district-xiojuf/ | Ballotpedia: https://ballotpedia.org/Mahesh_Ganorkar,Ballotpedia: https://ballotpedia.org/Mahesh_Ganorkar
Federal,U.S. House,"U.S. House, NC District 4",1,22.5%,Guy Meilleur,Libertarian,no,Durham,gray,No position found,low,none,No AI or data-center position found.,,ISA board-certified master arborist; former NC State lecturer.,"Frequent Libertarian candidate (U.S. House 2024, NC House 2020 and 2022).",Campaign site (unverified): https://guy4nc.org | Ballotpedia: https://ballotpedia.org/Guy_Meilleur,Ballotpedia: https://ballotpedia.org/Guy_Meilleur
